Entity,Code,Year,Renewables per capita (kWh - equivalent)
Argentina,ARG,2014,2525.8271
Argentina,ARG,2015,2510.5789
Argentina,ARG,2016,2311.6875
Argentina,ARG,2017,2470.724
Argentina,ARG,2018,2511.452
Argentina,ARG,2019,2468.6052
Argentina,ARG,2020,2377.5747
Argentina,ARG,2021,2399.5322
Argentina,ARG,2022,2756.9307
Argentina,ARG,2023,3141.6628
Asia,,1965,222.3872
Asia,,1966,226.44109
Asia,,1967,206.75435
Asia,,1968,224.33261
Asia,,1969,227.21378
Asia,,1970,227.32373
Asia,,1971,242.87311
Asia,,1972,245.58287
Asia,,1973,223.31256
Asia,,1974,248.8767
Asia,,1975,262.73886
Asia,,1976,264.90094
Asia,,1977,255.56485
Asia,,1978,264.37238
Asia,,1979,281.43222
Asia,,1980,297.12375
Asia,,1981,312.4645
Asia,,1982,313.3928
Asia,,1983,322.9857
Asia,,1984,319.09097
Asia,,1985,368.46494
Asia,,1986,364.79602
Asia,,1987,370.05774
Asia,,1988,415.4834
Asia,,1989,418.10483
Asia,,1990,426.9358
Asia,,1991,424.1603
Asia,,1992,420.34445
Asia,,1993,457.68048
Asia,,1994,450.51108
Asia,,1995,482.0944
Asia,,1996,472.2879
Asia,,1997,467.3664
Asia,,1998,488.64188
Asia,,1999,473.44626
Asia,,2000,483.74408
Asia,,2001,510.87067
Asia,,2002,519.7704
Asia,,2003,532.05096
Asia,,2004,613.4569
Asia,,2005,629.77203
Asia,,2006,684.43
Asia,,2007,712.9315
Asia,,2008,802.2983
Asia,,2009,788.9542
Asia,,2010,904.92334
Asia,,2011,929.24194
Asia,,2012,1047.8828
Asia,,2013,1146.835
Asia,,2014,1260.167
Asia,,2015,1330.2773
Asia,,2016,1426.1375
Asia,,2017,1538.1526
Asia,,2018,1669.9618
Asia,,2019,1823.9341
Asia,,2020,1935.5474
Asia,,2021,2112.8857
Asia,,2022,2299.3281
Asia,,2023,2425.0557
Australia,AUS,1965,2084.9104
Australia,AUS,1966,1951.7322
Australia,AUS,1967,1982.8727
Australia,AUS,1968,2029.5337
Australia,AUS,1969,2166.213
Australia,AUS,1970,2453.9646
Australia,AUS,1971,2683.344
Australia,AUS,1972,2635.7896
Australia,AUS,1973,2768.2363
Australia,AUS,1974,3091.4663
Australia,AUS,1975,3282.5305
Australia,AUS,1976,3091.437
Australia,AUS,1977,2918.1785
Australia,AUS,1978,3112.8638
Australia,AUS,1979,2992.9883
Australia,AUS,1980,2791.2869
Australia,AUS,1981,2832.694
Australia,AUS,1982,2598.0852
Australia,AUS,1983,2419.8884
Australia,AUS,1984,2581.6687
Australia,AUS,1985,2703.5625
Australia,AUS,1986,2681.848
Australia,AUS,1987,2568.1492
Australia,AUS,1988,2706.073
Australia,AUS,1989,2663.2573
Australia,AUS,1990,2702.2617
Australia,AUS,1991,2813.9587
Australia,AUS,1992,2823.9597
Australia,AUS,1993,2872.3596
Australia,AUS,1994,2810.7297
Australia,AUS,1995,2718.3857
Australia,AUS,1996,2763.9421
Australia,AUS,1997,2741.234
Australia,AUS,1998,2705.3374
Australia,AUS,1999,2766.3467
Australia,AUS,2000,2737.685
Australia,AUS,2001,2645.2122
Australia,AUS,2002,2708.4856
Australia,AUS,2003,2773.6526
Australia,AUS,2004,2845.223
Australia,AUS,2005,3015.9136
Australia,AUS,2006,3042.29
Australia,AUS,2007,2875.358
Australia,AUS,2008,2653.844
Australia,AUS,2009,2732.027
Australia,AUS,2010,2955.301
Australia,AUS,2011,3965.6514
Australia,AUS,2012,3844.2527
Australia,AUS,2013,4383.1484
Australia,AUS,2014,3982.3477
Australia,AUS,2015,4223.8315
Australia,AUS,2016,4771.693
Australia,AUS,2017,4392.7925
Australia,AUS,2018,5386.9814
Australia,AUS,2019,5879.921
Australia,AUS,2020,6698.7847
Australia,AUS,2021,7922.935
Australia,AUS,2022,8831.524
Australia,AUS,2023,9477.472
Austria,AUT,1965,6541.6733
Austria,AUT,1966,7000.156
Austria,AUT,1967,7095.3643
Austria,AUT,1968,7253.062
Austria,AUT,1969,6645.0854
Austria,AUT,1970,8432.793
Austria,AUT,1971,6632.8647
Austria,AUT,1972,6777.8687
Austria,AUT,1973,7489.612
Austria,AUT,1974,8840.264
Austria,AUT,1975,9286.367
Austria,AUT,1976,8040.218
Austria,AUT,1977,9739.236
Austria,AUT,1978,9754.929
Austria,AUT,1979,11007.9
Austria,AUT,1980,11404.694
Austria,AUT,1981,12055.418
Austria,AUT,1982,12066.638
Austria,AUT,1983,11972.639
Austria,AUT,1984,10503.83
Austria,AUT,1985,12432.113
Austria,AUT,1986,12619.191
Austria,AUT,1987,14200.749
Austria,AUT,1988,14206.123
Austria,AUT,1989,14077.761
Austria,AUT,1990,12608.698
Austria,AUT,1991,12492.961
Austria,AUT,1992,13683.4375
Austria,AUT,1993,14279.802
Austria,AUT,1994,13793.1875
Austria,AUT,1995,14538.525
Austria,AUT,1996,13353.565
Austria,AUT,1997,14094.372
Austria,AUT,1998,14532.994
Austria,AUT,1999,15717.087
Austria,AUT,2000,16078.19
Austria,AUT,2001,15509.863
Austria,AUT,2002,15210.699
Austria,AUT,2003,12671.771
Austria,AUT,2004,14101.312
Austria,AUT,2005,14416.047
Austria,AUT,2006,14488.603
Austria,AUT,2007,15319.22
Austria,AUT,2008,15700.529
Austria,AUT,2009,16592.205
Austria,AUT,2010,15785.184
Austria,AUT,2011,14297.22
Austria,AUT,2012,17580.533
Austria,AUT,2013,17107.934
Austria,AUT,2014,16774.605
Austria,AUT,2015,15719.883
Austria,AUT,2016,16554.303
Austria,AUT,2017,16354.286
Austria,AUT,2018,15874.077
Austria,AUT,2019,17095.865
Austria,AUT,2020,17154.707
Austria,AUT,2021,16308.09
Austria,AUT,2022,15321.636
Austria,AUT,2023,17215.49
Azerbaijan,AZE,1985,563.22015
Azerbaijan,AZE,1986,339.3284
Azerbaijan,AZE,1987,333.45038
Azerbaijan,AZE,1988,284.3575
Azerbaijan,AZE,1989,280.96304
Azerbaijan,AZE,1990,660.04224
Azerbaijan,AZE,1991,690.1098
Azerbaijan,AZE,1992,675.98004
Azerbaijan,AZE,1993,926.81555
Azerbaijan,AZE,1994,691.8137
Azerbaijan,AZE,1995,583.2019
Azerbaijan,AZE,1996,571.7488
Azerbaijan,AZE,1997,632.7903
Azerbaijan,AZE,1998,717.4498
Azerbaijan,AZE,1999,549.6828
Azerbaijan,AZE,2000,553.82574
Azerbaijan,AZE,2001,461.48856
Azerbaijan,AZE,2002,704.24695
Azerbaijan,AZE,2003,846.49286
Azerbaijan,AZE,2004,927.8629
Azerbaijan,AZE,2005,995.4846
Azerbaijan,AZE,2006,817.5785
Azerbaijan,AZE,2007,752.89355
Azerbaijan,AZE,2008,696.9179
Azerbaijan,AZE,2009,707.5463
Azerbaijan,AZE,2010,1035.6885
Azerbaijan,AZE,2011,788.716
Azerbaijan,AZE,2012,526.3849
Azerbaijan,AZE,2013,444.81433
Azerbaijan,AZE,2014,391.3848
Azerbaijan,AZE,2015,479.00803
Azerbaijan,AZE,2016,569.26935
Azerbaijan,AZE,2017,504.12286
Azerbaijan,AZE,2018,518.0196
Azerbaijan,AZE,2019,472.18802
Azerbaijan,AZE,2020,340.77127
Azerbaijan,AZE,2021,391.18164
Azerbaijan,AZE,2022,469.5691
Azerbaijan,AZE,2023,508.02905
Bangladesh,BGD,1971,7.568028
Bangladesh,BGD,1972,7.4621134
Bangladesh,BGD,1973,13.757338
Bangladesh,BGD,1974,9.850171
Bangladesh,BGD,1975,17.258919
Bangladesh,BGD,1976,19.124786
Bangladesh,BGD,1977,16.537506
Bangladesh,BGD,1978,18.701193
Bangladesh,BGD,1979,21.191452
Bangladesh,BGD,1980,20.540087
Bangladesh,BGD,1981,21.451128
Bangladesh,BGD,1982,17.463715
Bangladesh,BGD,1983,21.50054
Bangladesh,BGD,1984,28.357735
Bangladesh,BGD,1985,22.772358
Bangladesh,BGD,1986,13.5404625
Bangladesh,BGD,1987,15.21305
Bangladesh,BGD,1988,19.437046
Bangladesh,BGD,1989,25.935122
Bangladesh,BGD,1990,24.396038
Bangladesh,BGD,1991,22.683018
Bangladesh,BGD,1992,21.153221
Bangladesh,BGD,1993,15.851429
Bangladesh,BGD,1994,21.663036
Bangladesh,BGD,1995,9.338388
Bangladesh,BGD,1996,18.228828
Bangladesh,BGD,1997,17.421244
Bangladesh,BGD,1998,20.56925
Bangladesh,BGD,1999,19.43257
Bangladesh,BGD,2000,17.143412
Bangladesh,BGD,2001,22.155798
Bangladesh,BGD,2002,16.299408
Bangladesh,BGD,2003,15.931184
Bangladesh,BGD,2004,15.591015
Bangladesh,BGD,2005,15.289182
Bangladesh,BGD,2006,15.082642
Bangladesh,BGD,2007,14.902555
Bangladesh,BGD,2008,18.70741
Bangladesh,BGD,2009,8.51918
Bangladesh,BGD,2010,14.572353
Bangladesh,BGD,2011,18.397383
Bangladesh,BGD,2012,16.936466
Bangladesh,BGD,2013,16.445894
Bangladesh,BGD,2014,13.984857
Bangladesh,BGD,2015,20.020527
Bangladesh,BGD,2016,18.66556
Bangladesh,BGD,2017,21.8867
Bangladesh,BGD,2018,19.234287
Bangladesh,BGD,2019,19.217888
Bangladesh,BGD,2020,18.343538
Bangladesh,BGD,2021,20.152838
Bangladesh,BGD,2022,25.141754
Bangladesh,BGD,2023,29.636326
Belarus,BLR,1985,5.8362236
Belarus,BLR,1986,5.79706
Belarus,BLR,1987,5.7581506
Belarus,BLR,1988,5.7231154
Belarus,BLR,1989,5.6932936
Belarus,BLR,1990,5.670956
Belarus,BLR,1991,5.08967
Belarus,BLR,1992,4.798521
Belarus,BLR,1993,5.360704
Belarus,BLR,1994,5.3633075
Belarus,BLR,1995,5.6529775
Belarus,BLR,1996,4.5333347
Belarus,BLR,1997,5.9703016
Belarus,BLR,1998,7.993826
Belarus,BLR,1999,5.4502563
Belarus,BLR,2000,7.784205
Belarus,BLR,2001,8.6395235
Belarus,BLR,2002,8.351539
Belarus,BLR,2003,8.067186
Belarus,BLR,2004,9.8008
Belarus,BLR,2005,10.663756
Belarus,BLR,2006,11.01998
Belarus,BLR,2007,14.907924
Belarus,BLR,2008,30.646965
Belarus,BLR,2009,57.020115
Belarus,BLR,2010,80.80804
Belarus,BLR,2011,77.13713
Belarus,BLR,2012,88.33494
Belarus,BLR,2013,95.75592
Belarus,BLR,2014,92.592
Belarus,BLR,2015,98.381546
Belarus,BLR,2016,118.53891
Belarus,BLR,2017,218.31895
Belarus,BLR,2018,198.35622
Belarus,BLR,2019,242.94302
Belarus,BLR,2020,294.6268
Belarus,BLR,2021,376.0015
Belarus,BLR,2022,380.36304
Belarus,BLR,2023,341.50424
Belgium,BEL,1965,85.454025
Belgium,BEL,1966,93.40049
Belgium,BEL,1967,73.961784
Belgium,BEL,1968,75.50082
Belgium,BEL,1969,70.90284
Belgium,BEL,1970,75.5417
Belgium,BEL,1971,40.991146
Belgium,BEL,1972,54.870293
Belgium,BEL,1973,90.04341
Belgium,BEL,1974,108.15762
Belgium,BEL,1975,82.56136
Belgium,BEL,1976,51.595177
Belgium,BEL,1977,148.25105
Belgium,BEL,1978,151.97455
Belgium,BEL,1979,172.9628
Belgium,BEL,1980,181.0669
Belgium,BEL,1981,208.8205
Belgium,BEL,1982,114.789505
Belgium,BEL,1983,107.816734
Belgium,BEL,1984,112.878395
Belgium,BEL,1985,103.01489
Belgium,BEL,1986,140.99358
Belgium,BEL,1987,175.71147
Belgium,BEL,1988,167.35365
Belgium,BEL,1989,154.19803
Belgium,BEL,1990,171.43918
Belgium,BEL,1991,165.74184
Belgium,BEL,1992,188.41643
Belgium,BEL,1993,155.00415
Belgium,BEL,1994,181.92354
Belgium,BEL,1995,203.14326
Belgium,BEL,1996,171.16362
Belgium,BEL,1997,177.58893
Belgium,BEL,1998,228.57022
Belgium,BEL,1999,257.24277
Belgium,BEL,2000,313.7752
Belgium,BEL,2001,321.07175
Belgium,BEL,2002,339.79138
Belgium,BEL,2003,356.37997
Belgium,BEL,2004,443.36295
Belgium,BEL,2005,623.0997
Belgium,BEL,2006,866.60583
Belgium,BEL,2007,1014.2022
Belgium,BEL,2008,1275.9725
Belgium,BEL,2009,1693.5216
Belgium,BEL,2010,2243.2527
Belgium,BEL,2011,2656.233
Belgium,BEL,2012,3196.211
Belgium,BEL,2013,3451.6255
Belgium,BEL,2014,3582.6326
Belgium,BEL,2015,3973.33
Belgium,BEL,2016,4064.5344
Belgium,BEL,2017,4441.297
Belgium,BEL,2018,4702.7935
Belgium,BEL,2019,5182.6836
Belgium,BEL,2020,6239.0522
Belgium,BEL,2021,6068.9946
Belgium,BEL,2022,6452.6274
Belgium,BEL,2023,6881.5864
Brazil,BRA,1965,891.5651
Brazil,BRA,1966,948.7056
Brazil,BRA,1967,966.2828
Brazil,BRA,1968,985.56366
Brazil,BRA,1969,1028.3989
Brazil,BRA,1970,1275.7004
Brazil,BRA,1971,1349.1516
Brazil,BRA,1972,1546.081
Brazil,BRA,1973,1708.93
Brazil,BRA,1974,1884.4318
Brazil,BRA,1975,2021.4637
Brazil,BRA,1976,2254.3728
Brazil,BRA,1977,2513.7314
Brazil,BRA,1978,2739.7275
Brazil,BRA,1979,3066.5522
Brazil,BRA,1980,3323.2979
Brazil,BRA,1981,3279.3462
Brazil,BRA,1982,3506.6985
Brazil,BRA,1983,3764.5833
Brazil,BRA,1984,4076.945
Brazil,BRA,1985,4323.159
Brazil,BRA,1986,4433.2134
Brazil,BRA,1987,4425.7837
Brazil,BRA,1988,4636.257
Brazil,BRA,1989,4703.891
Brazil,BRA,1990,4627.2334
Brazil,BRA,1991,4772.6045
Brazil,BRA,1992,4809.208
Brazil,BRA,1993,4978.1416
Brazil,BRA,1994,5083.839
Brazil,BRA,1995,5232.874
Brazil,BRA,1996,5403.7944
Brazil,BRA,1997,5547.231
Brazil,BRA,1998,5681.611
Brazil,BRA,1999,5644.9316
Brazil,BRA,2000,5687.5312
Brazil,BRA,2001,4973.0483
Brazil,BRA,2002,5232.2524
Brazil,BRA,2003,5460.973
Brazil,BRA,2004,5659.872
Brazil,BRA,2005,5863.493
Brazil,BRA,2006,5944.4653
Brazil,BRA,2007,6422.022
Brazil,BRA,2008,6503.5464
Brazil,BRA,2009,6833.1626
Brazil,BRA,2010,7114.253
Brazil,BRA,2011,7306.2563
Brazil,BRA,2012,7073.814
Brazil,BRA,2013,6876.089
Brazil,BRA,2014,6804.8945
Brazil,BRA,2015,6861.86
Brazil,BRA,2016,7130.886
Brazil,BRA,2017,7083.7046
Brazil,BRA,2018,7513.406
Brazil,BRA,2019,7808.528
Brazil,BRA,2020,7752.6245
Brazil,BRA,2021,7482.67
Brazil,BRA,2022,8464.583
Brazil,BRA,2023,8962.235
Bulgaria,BGR,1965,717.2736
Bulgaria,BGR,1966,715.3233
Bulgaria,BGR,1967,714.35455
Bulgaria,BGR,1968,457.305
Bulgaria,BGR,1969,638.78253
Bulgaria,BGR,1970,741.404
Bulgaria,BGR,1971,742.13196
Bulgaria,BGR,1972,712.04425
Bulgaria,BGR,1973,868.16345
Bulgaria,BGR,1974,698.07745
Bulgaria,BGR,1975,818.5891
Bulgaria,BGR,1976,981.18164
Bulgaria,BGR,1977,1167.8446
Bulgaria,BGR,1978,960.21674
Bulgaria,BGR,1979,1090.9425
Bulgaria,BGR,1980,1222.5573
Bulgaria,BGR,1981,1191.5675
Bulgaria,BGR,1982,1005.38763
Bulgaria,BGR,1983,1107.0005
Bulgaria,BGR,1984,1078.337
Bulgaria,BGR,1985,741.8106
Bulgaria,BGR,1986,773.4908
Bulgaria,BGR,1987,846.1637
Bulgaria,BGR,1988,868.7753
Bulgaria,BGR,1989,903.77826
Bulgaria,BGR,1990,549.7279
Bulgaria,BGR,1991,768.9422
Bulgaria,BGR,1992,649.1459
Bulgaria,BGR,1993,613.6114
Bulgaria,BGR,1994,448.29758
Bulgaria,BGR,1995,758.2932
Bulgaria,BGR,1996,1016.47375
Bulgaria,BGR,1997,968.25006
Bulgaria,BGR,1998,1101.6534
Bulgaria,BGR,1999,989.7329
Bulgaria,BGR,2000,960.74744
Bulgaria,BGR,2001,603.65533
Bulgaria,BGR,2002,774.47095
Bulgaria,BGR,2003,1097.0132
Bulgaria,BGR,2004,1150.3472
Bulgaria,BGR,2005,1576.2123
Bulgaria,BGR,2006,1550.9395
Bulgaria,BGR,2007,1053.7902
Bulgaria,BGR,2008,1076.2892
Bulgaria,BGR,2009,1354.3499
Bulgaria,BGR,2010,2133.0674
Bulgaria,BGR,2011,1451.4683
Bulgaria,BGR,2012,2054.1448
Bulgaria,BGR,2013,2713.2139
Bulgaria,BGR,2014,2899.6929
Bulgaria,BGR,2015,3473.2515
Bulgaria,BGR,2016,2885.0955
Bulgaria,BGR,2017,2564.6946
Bulgaria,BGR,2018,3870.2913
Bulgaria,BGR,2019,3231.7188
Bulgaria,BGR,2020,3229.8647
Bulgaria,BGR,2021,4419.709
Bulgaria,BGR,2022,4218.176
Bulgaria,BGR,2023,4472.7305
Canada,CAN,1965,17735.2
Canada,CAN,1966,19314.93
Canada,CAN,1967,19404.691
Canada,CAN,1968,19426.168
Canada,CAN,1969,21176.963
Canada,CAN,1970,21815.654
Canada,CAN,1971,21947.201
Canada,CAN,1972,24169.7
Canada,CAN,1973,25579.465
Canada,CAN,1974,27307.045
Canada,CAN,1975,25877.21
Canada,CAN,1976,26924.87
Canada,CAN,1977,27593.346
Canada,CAN,1978,29181.084
Canada,CAN,1979,29982.791
Canada,CAN,1980,30466.98
Canada,CAN,1981,31941.863
Canada,CAN,1982,30640.59
Canada,CAN,1983,31271.69
Canada,CAN,1984,33338.027
Canada,CAN,1985,34949.47
Canada,CAN,1986,35399.68
Canada,CAN,1987,35647.203
Canada,CAN,1988,34197.844
Canada,CAN,1989,31931.652
Canada,CAN,1990,32069.76
Canada,CAN,1991,32886.316
Canada,CAN,1992,33385.55
Canada,CAN,1993,33777.543
Canada,CAN,1994,34089.242
Canada,CAN,1995,34510.137
Canada,CAN,1996,36249.36
Canada,CAN,1997,35382.293
Canada,CAN,1998,33455.71
Canada,CAN,1999,34561.805
Canada,CAN,2000,35386.59
Canada,CAN,2001,32493.29
Canada,CAN,2002,33660.78
Canada,CAN,2003,31899.857
Canada,CAN,2004,31677.885
Canada,CAN,2005,33281.12
Canada,CAN,2006,32022.26
Canada,CAN,2007,33001.152
Canada,CAN,2008,33302.668
Canada,CAN,2009,32326.29
Canada,CAN,2010,30724.25
Canada,CAN,2011,32501.496
Canada,CAN,2012,32654.436
Canada,CAN,2013,33052.715
Canada,CAN,2014,31920.246
Canada,CAN,2015,32529.217
Canada,CAN,2016,32722.955
Canada,CAN,2017,32902.316
Canada,CAN,2018,31798.229
Canada,CAN,2019,30952.205
Canada,CAN,2020,31018.557
Canada,CAN,2021,30693.26
Canada,CAN,2022,31566.414
Canada,CAN,2023,29238.72
Chile,CHL,1965,1299.8345
Chile,CHL,1966,1345.2523
Chile,CHL,1967,1349.0912
Chile,CHL,1968,1110.6427
Chile,CHL,1969,1232.2445
Chile,CHL,1970,1296.856
Chile,CHL,1971,1445.3428
Chile,CHL,1972,1687.9465
Chile,CHL,1973,1620.8186
Chile,CHL,1974,1810.902
Chile,CHL,1975,1790.6846
Chile,CHL,1976,1827.527
Chile,CHL,1977,1901.8132
Chile,CHL,1978,1951.1672
Chile,CHL,1979,1974.7936
Chile,CHL,1980,2058.4136
Chile,CHL,1981,2100.9978
Chile,CHL,1982,2269.4165
Chile,CHL,1983,2428.879
Chile,CHL,1984,2480.9175
Chile,CHL,1985,2706.0913
Chile,CHL,1986,2866.6726
Chile,CHL,1987,3050.6733
Chile,CHL,1988,2955.2988
Chile,CHL,1989,2452.6738
Chile,CHL,1990,2211.9517
Chile,CHL,1991,3107.1895
Chile,CHL,1992,3995.3022
Chile,CHL,1993,4036.0212
Chile,CHL,1994,3935.5703
Chile,CHL,1995,4192.8433
Chile,CHL,1996,3793.4216
Chile,CHL,1997,4158.113
Chile,CHL,1998,3389.565
Chile,CHL,1999,2950.3496
Chile,CHL,2000,3961.202
Chile,CHL,2001,4450.168
Chile,CHL,2002,4676.036
Chile,CHL,2003,4475.823
Chile,CHL,2004,4178.0654
Chile,CHL,2005,4881.9653
Chile,CHL,2006,5195.802
Chile,CHL,2007,4352.228
Chile,CHL,2008,4786.5396
Chile,CHL,2009,4833.6
Chile,CHL,2010,4245.514
Chile,CHL,2011,4150.789
Chile,CHL,2012,4353.8335
Chile,CHL,2013,4441.646
Chile,CHL,2014,4721.6494
Chile,CHL,2015,5077.6196
Chile,CHL,2016,4842.0093
Chile,CHL,2017,5471.8364
Chile,CHL,2018,6093.088
Chile,CHL,2019,5841.1035
Chile,CHL,2020,5928.4907
Chile,CHL,2021,5958.0664
Chile,CHL,2022,6956.2
Chile,CHL,2023,7840.3677
China,CHN,1965,90.26859
China,CHN,1966,89.495544
China,CHN,1967,75.31707
China,CHN,1968,86.66061
China,CHN,1969,85.818375
China,CHN,1970,86.41278
China,CHN,1971,101.9526
China,CHN,1972,112.924576
China,CHN,1973,123.514275
China,CHN,1974,137.0211
China,CHN,1975,140.91653
China,CHN,1976,140.61176
China,CHN,1977,144.72818
China,CHN,1978,133.8227
China,CHN,1979,148.28004
China,CHN,1980,175.2486
China,CHN,1981,194.25414
China,CHN,1982,217.11359
China,CHN,1983,248.2776
China,CHN,1984,245.85036
China,CHN,1985,257.6671
China,CHN,1986,259.40524
China,CHN,1987,269.6542
China,CHN,1988,289.28363
China,CHN,1989,308.64734
China,CHN,1990,325.01965
China,CHN,1991,315.14822
China,CHN,1992,327.04276
China,CHN,1993,376.28372
China,CHN,1994,412.21762
China,CHN,1995,472.0031
China,CHN,1996,456.7167
China,CHN,1997,475.6653
China,CHN,1998,478.8812
China,CHN,1999,470.54813
China,CHN,2000,528.07043
China,CHN,2001,648.4804
China,CHN,2002,665.86285
China,CHN,2003,650.6222
China,CHN,2004,799.40796
China,CHN,2005,895.05774
China,CHN,2006,979.0666
China,CHN,2007,1084.1614
China,CHN,2008,1422.9011
China,CHN,2009,1406.6
China,CHN,2010,1641.2845
China,CHN,2011,1635.6511
China,CHN,2012,2034.3444
China,CHN,2013,2203.7427
China,CHN,2014,2564.1948
China,CHN,2015,2731.7515
China,CHN,2016,2950.528
China,CHN,2017,3194.1672
China,CHN,2018,3486.4497
China,CHN,2019,3804.1638
China,CHN,2020,4100.154
China,CHN,2021,4580.666
China,CHN,2022,4978.281
